# 去程延迟导入格式：节点名,运营商,省份/地区,延迟ms
# 从 itdog.cn / ping.pe 等国内探针平台把结果整理成这四列即可。
# 运营商写「电信/联通/移动/教育网」，省份用于自动归大区。
广州电信,电信,广东,32.4
深圳电信,电信,广东,33.1
杭州电信,电信,浙江,45.8
上海电信,电信,上海,44.2
北京电信,电信,北京,62.7
武汉电信,电信,湖北,52.3
成都电信,电信,四川,68.9
西安电信,电信,陕西,71.2
沈阳电信,电信,辽宁,78.5
杭州联通,联通,浙江,48.6
上海联通,联通,上海,47.1
北京联通,联通,北京,58.3
广州联通,联通,广东,35.7
南宁联通,联通,广西,41.2
郑州联通,联通,河南,61.4
兰州联通,联通,甘肃,82.6
哈尔滨联通,联通,黑龙江,85.1
广州移动,移动,广东,38.9
深圳移动,移动,广东,37.2
上海移动,移动,上海,55.4
北京移动,移动,北京,72.8
重庆移动,移动,重庆,74.3
长沙移动,移动,湖南,58.7
乌鲁木齐移动,移动,新疆,108.4
北京教育网,教育网,北京,88.2
